Enhancers	msk_80	msk_81	msk_82	msk_83	msk_84	msk_85	msk_86	msk_87	msk_88	msk_89	msk_90	msk_91	msk_92	msk_93	msk_94	msk_95
0	0.6799659806215114	0.6799659806215114	0.6799659806215114	0.6799659806215114	0.6799659806215114	0.6799659806215114	0.6799659806215114	0.6799659806215114	0.6799659806215114	0.6799659806215114	0.6799659806215114	0.6799659806215114	0.6799659806215114	0.6799659806215114	0.6799659806215114	0.6799659806215114
1	1.0127532667966734	1.0127532667966734	1.0127532667966734	1.0127532667966734	1.0127532667966734	1.0127532667966734	1.0127532667966734	1.0127532667966734	1.0127532667966734	1.0127532667966734	1.0127532667966734	1.0127532667966734	1.0127532667966734	1.0127532667966734	1.0127532667966734	1.0127532667966734
2	0.9863138194426306	0.9863138194426306	0.9863138194426306	0.9863138194426306	0.9863138194426306	0.9863138194426306	0.9863138194426306	0.9863138194426306	0.9863138194426306	0.9863138194426306	0.9863138194426306	0.9863138194426306	0.9863138194426306	0.9863138194426306	0.9863138194426306	0.9863138194426306
3	0.6535025195429047	0.6535025195429047	0.6535025195429047	0.6535025195429047	0.6535025195429047	0.6535025195429047	0.6535025195429047	0.6535025195429047	0.6535025195429047	0.6535025195429047	0.6535025195429047	0.6535025195429047	0.6535025195429047	0.6535025195429047	0.6535025195429047	0.6535025195429047
4	0.9913638157803746	0.9913638157803746	0.9913638157803746	0.9913638157803746	0.9913638157803746	0.9913638157803746	0.9913638157803746	0.9913638157803746	0.9913638157803746	0.9913638157803746	0.9913638157803746	0.9913638157803746	0.9913638157803746	0.9913638157803746	0.9913638157803746	0.9913638157803746
5	0.6561199400928507	0.6561199400928507	0.6561199400928507	0.6561199400928507	0.6561199400928507	0.6561199400928507	0.6561199400928507	0.6561199400928507	0.6561199400928507	0.6561199400928507	0.6561199400928507	0.6561199400928507	0.6561199400928507	0.6561199400928507	0.6561199400928507	0.6561199400928507
6	0.9997485057210468	0.9997485057210468	0.9997485057210468	0.9997485057210468	0.9997485057210468	0.9997485057210468	0.9997485057210468	0.9997485057210468	0.9997485057210468	0.9997485057210468	0.9997485057210468	0.9997485057210468	0.9997485057210468	0.9997485057210468	0.9997485057210468	0.9997485057210468
7	0.9864137162528892	0.9864137162528892	0.9864137162528892	0.9864137162528892	0.9864137162528892	0.9864137162528892	0.9864137162528892	0.9864137162528892	0.9864137162528892	0.9864137162528892	0.9864137162528892	0.9864137162528892	0.9864137162528892	0.9864137162528892	0.9864137162528892	0.9864137162528892
8	0.6588854687611678	0.6588854687611678	0.6588854687611678	0.6588854687611678	0.6588854687611678	0.6588854687611678	0.6588854687611678	0.6588854687611678	0.6588854687611678	0.6588854687611678	0.6588854687611678	0.6588854687611678	0.6588854687611678	0.6588854687611678	0.6588854687611678	0.6588854687611678
9	0.9849047808854468	0.9849047808854468	0.9849047808854468	0.9849047808854468	0.9849047808854468	0.9849047808854468	0.9849047808854468	0.9849047808854468	0.9849047808854468	0.9849047808854468	0.9849047808854468	0.9849047808854468	0.9849047808854468	0.9849047808854468	0.9849047808854468	0.9849047808854468
10	1.0146555848624497	1.0146555848624497	1.0146555848624497	1.0146555848624497	1.0146555848624497	1.0146555848624497	1.0146555848624497	1.0146555848624497	1.0146555848624497	1.0146555848624497	1.0146555848624497	1.0146555848624497	1.0146555848624497	1.0146555848624497	1.0146555848624497	1.0146555848624497
11	1.0073709962716941	1.0073709962716941	1.0073709962716941	1.0073709962716941	1.0073709962716941	1.0073709962716941	1.0073709962716941	1.0073709962716941	1.0073709962716941	1.0073709962716941	1.0073709962716941	1.0073709962716941	1.0073709962716941	1.0073709962716941	1.0073709962716941	1.0073709962716941
12	0.6698378667727267	0.6698378667727267	0.6698378667727267	0.6698378667727267	0.6698378667727267	0.6698378667727267	0.6698378667727267	0.6698378667727267	0.6698378667727267	0.6698378667727267	0.6698378667727267	0.6698378667727267	0.6698378667727267	0.6698378667727267	0.6698378667727267	0.6698378667727267
13	0.3400236520827851	0.3400236520827851	0.3400236520827851	0.3400236520827851	0.3400236520827851	0.3400236520827851	0.3400236520827851	0.3400236520827851	0.3400236520827851	0.3400236520827851	0.3400236520827851	0.3400236520827851	0.3400236520827851	0.3400236520827851	0.3400236520827851	0.3400236520827851
14	0.6561481724436814	0.6561481724436814	0.6561481724436814	0.6561481724436814	0.6561481724436814	0.6561481724436814	0.6561481724436814	0.6561481724436814	0.6561481724436814	0.6561481724436814	0.6561481724436814	0.6561481724436814	0.6561481724436814	0.6561481724436814	0.6561481724436814	0.6561481724436814
15	1.0128010696930252	1.0128010696930252	1.0128010696930252	1.0128010696930252	1.0128010696930252	1.0128010696930252	1.0128010696930252	1.0128010696930252	1.0128010696930252	1.0128010696930252	1.0128010696930252	1.0128010696930252	1.0128010696930252	1.0128010696930252	1.0128010696930252	1.0128010696930252
16	0.6712039553178757	0.6712039553178757	0.6712039553178757	0.6712039553178757	0.6712039553178757	0.6712039553178757	0.6712039553178757	0.6712039553178757	0.6712039553178757	0.6712039553178757	0.6712039553178757	0.6712039553178757	0.6712039553178757	0.6712039553178757	0.6712039553178757	0.6712039553178757
17	1.0154744669500562	1.0154744669500562	1.0154744669500562	1.0154744669500562	1.0154744669500562	1.0154744669500562	1.0154744669500562	1.0154744669500562	1.0154744669500562	1.0154744669500562	1.0154744669500562	1.0154744669500562	1.0154744669500562	1.0154744669500562	1.0154744669500562	1.0154744669500562
